Modelo,P@20,R@20,MRR@20,nDCG@20
bm25_padrao,0.269,0.4762089022089022,0.9175,0.58673260449566
select,0.0030000000000000005,0.0053030303030303025,0.040999999999999995,0.011072320952992593
select_swan,0.009000000000000001,0.016393939393939395,0.11,0.03641383102547367
select_swan_synonym,0.009000000000000001,0.016393939393939395,0.11,0.03641383102547367
bert-base-portuguese-cased-finetuned-tcu-acordaos,0.152,0.269492451992452,0.6133508970389774,0.3266057535107608
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls,0.08499999999999998,0.15141658341658343,0.3651759710877358,0.18291609532780131
bert-base-portuguese-cased,0.134,0.23964696414696415,0.6066461675579322,0.30453421610024595
bert-base-portuguese-cased_cls,0.044,0.0789044289044289,0.18085858585858586,0.08878579774865976
bert-large-portuguese-cased,0.14500000000000002,0.2561754356754357,0.6125901116427432,0.3145053464160069
bert-large-portuguese-cased_cls,0.031,0.05603379953379953,0.14499000792808844,0.06135071831762542
Legal-BERTimbau-sts-large-ma-v3,0.136,0.24063697413697413,0.5011940836940837,0.27420191438924724
Legal-BERTimbau-sts-large-ma-v3_cls,0.087,0.15324148074148072,0.377353896103896,0.17846080435066156
bert-large-portuguese-cased-legal-mlm-sts-v1.0,0.255,0.44535259185259185,0.8717738095238096,0.5224468310405235
bert-large-portuguese-cased-legal-mlm-sts-v1.0_cls,0.222,0.39172077922077925,0.7767289377289377,0.4539476821605032
bert-large-portuguese-cased-legal-mlm-nli-sts-v1,0.209,0.36595582195582194,0.7991515151515152,0.4516341422755732
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls,0.18099999999999997,0.3218117993117993,0.7212460317460319,0.3886296518622667
paraphrase-multilingual-mpnet-base-v2,0.213,0.3733615828615829,0.7954935064935065,0.47747464195303146
paraphrase-multilingual-mpnet-base-v2_cls,0.14300000000000002,0.25172422022422025,0.7378737373737374,0.35270603429097735
text-embedding-ada-002,0.311,0.549964146964147,0.9466666666666665,0.668273105568206
text-embedding-3-small,0.321,0.5642257187257187,0.9166666666666665,0.6594308282120009
text-embedding-3-large,0.321,0.5630189810189811,0.9146666666666667,0.6656201358844365
